,precos,bairros,tamanhos,quartos,banheiros,vagas
235,R$ 379.450,"Bauru, São Paulo",148 m² tot.,3 quartos,2 ban.,1 vaga
236,R$ 319.740,"Tangarás, Bauru",360 m² tot.,3 quartos,3 ban.,4 vagas
237,R$ 279.140,"Tangarás, Bauru",120 m² tot.,2 quartos,2 ban.,2 vagas
238,R$ 379.730,"Centro, Bauru",146 m² tot.,4 quartos,3 ban.,2 vagas
239,R$ 419.300,"Bauru, São Paulo",216 m² tot.,2 quartos,2 ban.,4 vagas
240,R$ 799.720,"Madureira, Bauru",385 m² tot.,3 quartos,2 ban.,3 vagas
241,R$ 2.297.220,"Bauru, São Paulo",526 m² tot.,3 quartos,4 ban.,4 vagas
242,R$ 2.299.770,"Bauru, São Paulo",484 m² tot.,3 quartos,4 ban.,4 vagas
243,R$ 449.290,"Centro, Bauru",200 m² tot.,3 quartos,4 ban.,1 vaga
244,R$ 379.420,"Bauru, São Paulo",228 m² tot.,3 quartos,3 ban.,2 vagas
245,R$ 2.499.070,"Bauru, São Paulo",630 m² tot.,4 quartos,7 ban.,3 vagas
246,R$ 329.740,"Bauru, São Paulo",145 m² tot.,4 quartos,3 ban.,2 vagas
247,R$ 270.000,"Residencial Nova Bauru, Bauru",150 m² tot.,3 quartos,3 ban.,2 vagas
248,R$ 659.420,"Vila Riachuelo, Bauru",235 m² tot.,3 quartos,3 ban.,2 vagas
249,R$ 339.650,"Jardim Eugênia, Bauru",202 m² tot.,3 quartos,2 ban.,2 vagas
250,R$ 616.550,"Vila Engler, Bauru",340 m² tot.,4 quartos,3 ban.,5 vagas
251,R$ 423.590,"Vila Independência, Bauru",200 m² tot.,3 quartos,2 ban.,3 vagas
252,R$ 499.050,"Jardim Solange, Bauru",180 m² tot.,3 quartos,2 ban.,3 vagas
253,R$ 649.550,"Vila Coralina, Bauru",432 m² tot.,3 quartos,2 ban.,6 vagas
254,R$ 1.479.860,"Quinta Ranieri, Bauru",360 m² tot.,4 quartos,3 ban.,4 vagas
255,R$ 359.440,"Parque União, Bauru",129 m² tot.,3 quartos,1 banheiro,2 vagas
256,R$ 2.499.770,"Jardim Colonial, Bauru",525 m² tot.,4 quartos,6 ban.,3 vagas
257,R$ 549.510,"Jardim América, Bauru",407 m² tot.,3 quartos,2 ban.,2 vagas
