,precos,bairros,tamanhos,quartos,banheiros,vagas
258,R$ 436.870,"Jardim Petrópolis, Bauru",308 m² tot.,3 quartos,4 ban.,4 vagas
259,R$ 399.850,"Parque Hipódromo, Bauru",242 m² tot.,3 quartos,2 ban.,4 vagas
260,R$ 639.410,"Vila Camargo, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
261,R$ 289.570,"Parque Roosevelt, Bauru",220 m² tot.,2 quartos,1 banheiro,4 vagas
262,R$ 349.640,"Vila Dutra, Bauru",200 m² tot.,2 quartos,2 ban.,2 vagas
263,R$ 899.830,"Jardim Estoril, Bauru",400 m² tot.,2 quartos,3 ban.,3 vagas
264,R$ 448.320,"Jardim Solange, Bauru",270 m² tot.,3 quartos,2 ban.,2 vagas
265,R$ 1.449.770,"Jardim Marabá, Bauru",450 m² tot.,3 quartos,4 ban.,4 vagas
266,R$ 479.110,"Jardim Ferraz, Bauru",256 m² tot.,3 quartos,2 ban.,2 vagas
267,R$ 1.299.850,"Quinta Ranieri, Bauru",440 m² tot.,3 quartos,4 ban.,2 vagas
268,R$ 1.299.040,"Jardim Marabá, Bauru",450 m² tot.,3 quartos,3 ban.,2 vagas
269,R$ 449.010,"Jardim Solange, Bauru",270 m² tot.,2 quartos,2 ban.,2 vagas
270,R$ 279.550,"Vila Industrial, Bauru",119 m² tot.,2 quartos,1 banheiro,2 vagas
271,R$ 499.340,"Vila Santista, Bauru",185 m² tot.,2 quartos,3 ban.,4 vagas
272,R$ 979.450,"Jardim Marambá, Bauru",300 m² tot.,3 quartos,4 ban.,4 vagas
273,R$ 276.460,"Jardim Chapadão, Bauru",142 m² tot.,3 quartos,1 banheiro,2 vagas
274,R$ 419.590,"Jardim Alvorada, Bauru",175 m² tot.,2 quartos,3 ban.,2 vagas
275,R$ 439.080,"Vila Lemos, Bauru",363 m² tot.,3 quartos,2 ban.,2 vagas
276,R$ 1.189.200,"Jardim Marabá, Bauru",450 m² tot.,4 quartos,5 ban.,2 vagas
277,R$ 749.070,"Cidade Jardim, Bauru",242 m² tot.,3 quartos,3 ban.,2 vagas
278,R$ 579.800,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,3 ban.,3 vagas
279,R$ 589.010,"Vila Pacífico, Bauru",250 m² tot.,3 quartos,4 ban.,2 vagas
280,R$ 339.650,"Jardim Eugênia, Bauru",202 m² tot.,3 quartos,2 ban.,2 vagas
281,R$ 616.550,"Vila Engler, Bauru",340 m² tot.,4 quartos,3 ban.,5 vagas
282,R$ 359.440,"Parque União, Bauru",129 m² tot.,3 quartos,1 banheiro,2 vagas
283,R$ 2.499.770,"Jardim Colonial, Bauru",525 m² tot.,4 quartos,6 ban.,3 vagas
284,R$ 549.510,"Jardim América, Bauru",407 m² tot.,3 quartos,2 ban.,2 vagas
285,R$ 436.870,"Jardim Petrópolis, Bauru",308 m² tot.,3 quartos,4 ban.,4 vagas
286,R$ 399.850,"Parque Hipódromo, Bauru",242 m² tot.,3 quartos,2 ban.,4 vagas
287,R$ 639.410,"Vila Camargo, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
288,R$ 289.570,"Parque Roosevelt, Bauru",220 m² tot.,2 quartos,1 banheiro,4 vagas
289,R$ 899.830,"Jardim Estoril, Bauru",400 m² tot.,2 quartos,3 ban.,3 vagas
290,R$ 1.449.770,"Jardim Marabá, Bauru",450 m² tot.,3 quartos,4 ban.,4 vagas
291,R$ 479.110,"Jardim Ferraz, Bauru",256 m² tot.,3 quartos,2 ban.,2 vagas
292,R$ 449.010,"Jardim Solange, Bauru",270 m² tot.,2 quartos,2 ban.,2 vagas
293,R$ 1.099.720,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,2 ban.,2 vagas
294,R$ 478.980,"Vila Lemos, Bauru",363 m² tot.,3 quartos,1 banheiro,4 vagas
295,R$ 1.249.790,"Jardim América, Bauru",630 m² tot.,3 quartos,5 ban.,4 vagas
296,R$ 599.740,"Vila Lemos, Bauru",165 m² tot.,4 quartos,3 ban.,4 vagas
297,R$ 3.499.630,"Jardim Paulista, Bauru",525 m² tot.,3 quartos,4 ban.,3 vagas
298,R$ 499.460,"Núcleo Eldorado, Bauru",250 m² tot.,3 quartos,3 ban.,2 vagas
299,R$ 749.690,"Vila Becheli, Bauru",484 m² tot.,3 quartos,3 ban.,3 vagas
300,R$ 1.149.360,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,5 ban.,3 vagas
301,R$ 559.690,"Vila Cardia, Bauru",255 m² tot.,3 quartos,2 ban.,2 vagas
302,R$ 259.600,"Jardim Araruna, Bauru",260 m² tot.,3 quartos,3 ban.,
303,R$ 360.160,"Cidade Jardim, Bauru",205 m² tot.,3 quartos,2 ban.,2 vagas
304,R$ 281.030,"Jardim Cecap, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
305,R$ 589.450,"Jardim Panorama, Bauru",200 m² tot.,3 quartos,4 ban.,4 vagas
306,R$ 773.420,"Vila Cardia, Bauru",440 m² tot.,3 quartos,5 ban.,5 vagas
307,R$ 219.880,"Parque Jaraguá, Bauru",125 m² tot.,2 quartos,1 banheiro,2 vagas
308,R$ 274.490,"Vila Industrial, Bauru",200 m² tot.,3 quartos,1 banheiro,3 vagas
309,R$ 339.110,"Jardim Ferraz, Bauru",208 m² tot.,3 quartos,2 ban.,2 vagas
310,R$ 599.710,"Quinta Ranieri, Bauru",224 m² tot.,4 quartos,2 ban.,3 vagas
311,R$ 279.420,"Vila Noemy, Bauru",128 m² tot.,3 quartos,2 ban.,
312,R$ 379.130,"Jardim Solange, Bauru",83 m² tot.,2 quartos,3 ban.,1 vaga
313,R$ 379.710,"Vila Falcão, Bauru",230 m² tot.,3 quartos,4 ban.,2 vagas
314,R$ 2.499.520,"Vila Cardia, Bauru",1000 m² tot.,3 quartos,5 ban.,15 vagas
315,R$ 234.730,"Vila Industrial, Bauru",172 m² tot.,3 quartos,2 ban.,2 vagas
316,R$ 649.060,"Jardim de Allah, Bauru",308 m² tot.,4 quartos,4 ban.,4 vagas
317,R$ 399.780,"Parque Jaraguá, Bauru",220 m² tot.,2 quartos,2 ban.,2 vagas
318,R$ 599.690,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,2 ban.,2 vagas
319,R$ 389.660,"Jardim Ferraz, Bauru",241 m² tot.,3 quartos,4 ban.,3 vagas
320,R$ 588.450,"Jardim Panorama, Bauru",101 m² tot.,3 quartos,3 ban.,1 vaga
321,R$ 339.590,"Jardim Petrópolis, Bauru",300 m² tot.,3 quartos,2 ban.,2 vagas
322,R$ 529.310,"Jardim Santana, Bauru",250 m² tot.,3 quartos,4 ban.,5 vagas
323,R$ 448.250,"Vila Lemos, Bauru",252 m² tot.,3 quartos,4 ban.,2 vagas
324,R$ 749.280,"Jardim Colonial, Bauru",356 m² tot.,3 quartos,4 ban.,4 vagas
325,R$ 229.710,"Parque Jaraguá, Bauru",134 m² tot.,2 quartos,1 banheiro,2 vagas
326,R$ 539.640,"Jardim Solange, Bauru",70 m² tot.,3 quartos,2 ban.,2 vagas
327,R$ 578.900,"Jardim Brasil, Bauru",250 m² tot.,2 quartos,2 ban.,4 vagas
328,R$ 349.060,"Parque Roosevelt, Bauru",360 m² tot.,3 quartos,1 banheiro,4 vagas
329,R$ 749.610,"Jardim Brasil, Bauru",242 m² tot.,3 quartos,3 ban.,2 vagas
330,R$ 191.360,"Vila Camargo, Bauru",176 m² tot.,3 quartos,1 banheiro,1 vaga
331,R$ 419.540,"Parque União, Bauru",220 m² tot.,4 quartos,3 ban.,3 vagas
332,R$ 379.730,"Jardim Olímpico, Bauru",180 m² tot.,2 quartos,3 ban.,2 vagas
333,R$ 311.900,"Vila Souto, Bauru",484 m² tot.,2 quartos,2 ban.,5 vagas
334,R$ 949.480,"Vila Cardia, Bauru",305 m² tot.,4 quartos,5 ban.,5 vagas
335,R$ 778.560,"Jardim Marambá, Bauru",317 m² tot.,4 quartos,4 ban.,2 vagas
336,R$ 559.690,"Vila Cardia, Bauru",255 m² tot.,3 quartos,2 ban.,2 vagas
337,R$ 259.600,"Jardim Araruna, Bauru",260 m² tot.,3 quartos,3 ban.,
338,R$ 360.160,"Cidade Jardim, Bauru",205 m² tot.,3 quartos,2 ban.,2 vagas
339,R$ 281.030,"Jardim Cecap, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
340,R$ 589.450,"Jardim Panorama, Bauru",200 m² tot.,3 quartos,4 ban.,4 vagas
341,R$ 219.880,"Parque Jaraguá, Bauru",125 m² tot.,2 quartos,1 banheiro,2 vagas
342,R$ 339.110,"Jardim Ferraz, Bauru",208 m² tot.,3 quartos,2 ban.,2 vagas
343,R$ 599.710,"Quinta Ranieri, Bauru",224 m² tot.,4 quartos,2 ban.,3 vagas
344,R$ 279.420,"Vila Noemy, Bauru",128 m² tot.,3 quartos,2 ban.,
345,R$ 379.130,"Jardim Solange, Bauru",83 m² tot.,2 quartos,3 ban.,1 vaga
346,R$ 379.710,"Vila Falcão, Bauru",230 m² tot.,3 quartos,4 ban.,2 vagas
347,R$ 649.060,"Jardim de Allah, Bauru",308 m² tot.,4 quartos,4 ban.,4 vagas
348,R$ 389.660,"Jardim Ferraz, Bauru",241 m² tot.,3 quartos,4 ban.,3 vagas
349,R$ 588.450,"Jardim Panorama, Bauru",101 m² tot.,3 quartos,3 ban.,1 vaga
350,R$ 339.590,"Jardim Petrópolis, Bauru",300 m² tot.,3 quartos,2 ban.,2 vagas
351,R$ 529.310,"Jardim Santana, Bauru",250 m² tot.,3 quartos,4 ban.,5 vagas
352,R$ 448.250,"Vila Lemos, Bauru",252 m² tot.,3 quartos,4 ban.,2 vagas
353,R$ 749.280,"Jardim Colonial, Bauru",356 m² tot.,3 quartos,4 ban.,4 vagas
354,R$ 578.900,"Jardim Brasil, Bauru",250 m² tot.,2 quartos,2 ban.,4 vagas
355,R$ 349.060,"Parque Roosevelt, Bauru",360 m² tot.,3 quartos,1 banheiro,4 vagas
356,R$ 749.610,"Jardim Brasil, Bauru",242 m² tot.,3 quartos,3 ban.,2 vagas
357,R$ 324.040,"Vila Industrial, Bauru",144 m² tot.,2 quartos,1 banheiro,2 vagas
358,R$ 344.150,"Jardim Vitória, Bauru",260 m² tot.,3 quartos,1 banheiro,2 vagas
359,R$ 279.270,"Jardim Ferraz, Bauru",125 m² tot.,2 quartos,1 banheiro,2 vagas
360,R$ 479.510,"Vila Nipônica, Bauru",180 m² tot.,3 quartos,2 ban.,2 vagas
361,R$ 269.180,"Jardim Solange, Bauru",126 m² tot.,2 quartos,1 banheiro,1 vaga
362,R$ 359.230,"Jardim Redentor, Bauru",200 m² tot.,2 quartos,2 ban.,3 vagas
363,R$ 399.080,"Vila Giunta, Bauru",180 m² tot.,2 quartos,2 ban.,2 vagas
364,R$ 474.310,"Jardim Marília, Bauru",200 m² tot.,2 quartos,2 ban.,2 vagas
365,R$ 349.110,"Jardim Estoril, Bauru",220 m² tot.,3 quartos,2 ban.,3 vagas
366,R$ 949.850,"Jardim Estoril, Bauru",198 m² tot.,5 quartos,1 banheiro,5 vagas
367,R$ 979.730,"Jardim América, Bauru",200 m² tot.,2 quartos,2 ban.,2 vagas
368,R$ 419.270,"Parque Jaraguá, Bauru",400 m² tot.,4 quartos,3 ban.,
369,R$ 349.450,"Vila Gonçalves, Bauru",300 m² tot.,3 quartos,1 banheiro,1 vaga
370,R$ 449.629,"Jardim Ferraz, Bauru",4110 m² tot.,3 quartos,2 ban.,2 vagas
371,R$ 419.310,"Parque Viaduto, Bauru",144 m² tot.,2 quartos,2 ban.,2 vagas
372,R$ 299.820,"Jardim América, Bauru",187 m² tot.,2 quartos,1 banheiro,
373,R$ 448.410,"Vila Industrial, Bauru",300 m² tot.,4 quartos,3 ban.,4 vagas
374,R$ 829.580,"Parque Floresta, Bauru",210 m² tot.,4 quartos,5 ban.,3 vagas
375,R$ 279.300,"Vila Dutra, Bauru",200 m² tot.,2 quartos,1 banheiro,2 vagas
376,R$ 349.730,"Jardim TV, Bauru",300 m² tot.,2 quartos,2 ban.,1 vaga
377,R$ 449.820,"Vila Pacífico, Bauru",162 m² tot.,3 quartos,2 ban.,2 vagas
378,R$ 848.320,"Jardim Colonial, Bauru",330 m² tot.,3 quartos,3 ban.,2 vagas
379,R$ 219.040,"Jardim Andorfato, Bauru",129 m² tot.,1 quarto,1 banheiro,2 vagas
380,R$ 319.870,"Parque Viaduto, Bauru",137 m² tot.,3 quartos,2 ban.,2 vagas
381,R$ 538.700,"Jardim Gaivota, Bauru",363 m² tot.,3 quartos,3 ban.,4 vagas
382,R$ 294.500,"Jardim Redentor, Bauru",150 m² tot.,2 quartos,1 banheiro,4 vagas
383,R$ 249.860,"Jardim Eldorado, Bauru",180 m² tot.,2 quartos,2 ban.,4 vagas
384,R$ 579.520,"Jardim Brasil, Bauru",170 m² tot.,3 quartos,3 ban.,2 vagas
385,R$ 1.599.460,"Jardim Colonial, Bauru",670 m² tot.,3 quartos,5 ban.,4 vagas
386,R$ 749.170,"Vila Altinópolis, Bauru",173 m² tot.,3 quartos,4 ban.,2 vagas
387,R$ 759.190,"Jardim Colonial, Bauru",200 m² tot.,3 quartos,4 ban.,2 vagas
388,R$ 479.870,"Jardim Olímpico, Bauru",125 m² tot.,3 quartos,3 ban.,2 vagas
389,R$ 889.360,"Vila Coralina, Bauru",242 m² tot.,3 quartos,3 ban.,4 vagas
390,R$ 419.120,"Parque Viaduto, Bauru",144 m² tot.,2 quartos,2 ban.,2 vagas
391,R$ 697.430,"Jardim Colonial, Bauru",390 m² tot.,3 quartos,2 ban.,4 vagas
392,R$ 249.490,"Jardim Prudência, Bauru",265 m² tot.,3 quartos,1 banheiro,2 vagas
393,R$ 230.410,"Jardim Chapadão, Bauru",125 m² tot.,2 quartos,1 banheiro,1 vaga
394,R$ 371.460,"Jardim Olímpico, Bauru",126 m² tot.,2 quartos,2 ban.,1 vaga
395,R$ 339.120,"Vila Ipiranga, Bauru",207 m² tot.,2 quartos,2 ban.,2 vagas
396,R$ 579.270,"Vila Coralina, Bauru",242 m² tot.,2 quartos,3 ban.,3 vagas
397,R$ 829.670,"Parque Paulistano, Bauru",363 m² tot.,3 quartos,3 ban.,4 vagas
398,R$ 279.190,"Jardim Helena, Bauru",160 m² tot.,4 quartos,2 ban.,2 vagas
399,R$ 1.699.030,"Jardim Estoril, Bauru",645 m² tot.,3 quartos,6 ban.,6 vagas
400,R$ 409.720,"Jardim América, Bauru",200 m² tot.,4 quartos,2 ban.,2 vagas
401,R$ 329.700,"Jardim Petrópolis, Bauru",300 m² tot.,2 quartos,1 banheiro,4 vagas
402,R$ 319.870,"Vila Camargo, Bauru",400 m² tot.,2 quartos,2 ban.,2 vagas
403,R$ 579.780,"Vila Camargo, Bauru",255 m² tot.,3 quartos,1 banheiro,2 vagas
404,R$ 379.670,"Vila Pacífico, Bauru",380 m² tot.,4 quartos,4 ban.,6 vagas
405,R$ 299.790,"Vila Seabra, Bauru",220 m² tot.,3 quartos,2 ban.,2 vagas
406,R$ 397.500,"Núcleo Eldorado, Bauru",238 m² tot.,3 quartos,3 ban.,1 vaga
407,R$ 279.500,"Parque Paulista, Bauru",295 m² tot.,2 quartos,1 banheiro,1 vaga
408,R$ 334.740,"Jardim Prudência, Bauru",130 m² tot.,3 quartos,2 ban.,2 vagas
409,R$ 469.220,"Vila Carmem, Bauru",264 m² tot.,3 quartos,3 ban.,4 vagas
410,R$ 649.820,"Vila Popular, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
411,R$ 649.020,"Vila Popular, Bauru",190 m² tot.,3 quartos,2 ban.,2 vagas
412,R$ 369.130,"Parque Paulista, Bauru",180 m² tot.,3 quartos,2 ban.,2 vagas
413,R$ 779.880,"Vila Cardia, Bauru",400 m² tot.,3 quartos,2 ban.,1 vaga
414,R$ 849.340,"Jardim América, Bauru",280 m² tot.,4 quartos,3 ban.,5 vagas
415,R$ 689.660,"Jardim Aeroporto, Bauru",247 m² tot.,3 quartos,4 ban.,4 vagas
416,R$ 729.450,"Vila Souto, Bauru",570 m² tot.,4 quartos,4 ban.,6 vagas
417,R$ 759.030,"Quinta Ranieri, Bauru",360 m² tot.,4 quartos,4 ban.,3 vagas
418,R$ 249.560,"Vila Rocha, Bauru",156 m² tot.,2 quartos,2 ban.,2 vagas
419,R$ 449.010,"Jardim Petrópolis, Bauru",232 m² tot.,3 quartos,3 ban.,3 vagas
420,R$ 294.500,"Jardim Redentor, Bauru",150 m² tot.,2 quartos,1 banheiro,4 vagas
421,R$ 249.860,"Jardim Eldorado, Bauru",180 m² tot.,2 quartos,2 ban.,4 vagas
422,R$ 579.520,"Jardim Brasil, Bauru",170 m² tot.,3 quartos,3 ban.,2 vagas
423,R$ 1.599.460,"Jardim Colonial, Bauru",670 m² tot.,3 quartos,5 ban.,4 vagas
424,R$ 749.170,"Vila Altinópolis, Bauru",173 m² tot.,3 quartos,4 ban.,2 vagas
425,R$ 889.360,"Vila Coralina, Bauru",242 m² tot.,3 quartos,3 ban.,4 vagas
426,R$ 579.790,"Jardim Solange, Bauru",210 m² tot.,3 quartos,5 ban.,3 vagas
427,R$ 230.410,"Jardim Chapadão, Bauru",125 m² tot.,2 quartos,1 banheiro,1 vaga
428,R$ 434.040,"Vila Industrial, Bauru",153 m² tot.,3 quartos,2 ban.,2 vagas
429,R$ 371.460,"Jardim Olímpico, Bauru",126 m² tot.,2 quartos,2 ban.,1 vaga
430,R$ 339.120,"Vila Ipiranga, Bauru",207 m² tot.,2 quartos,2 ban.,2 vagas
431,R$ 829.670,"Parque Paulistano, Bauru",363 m² tot.,3 quartos,3 ban.,4 vagas
432,R$ 279.190,"Jardim Helena, Bauru",160 m² tot.,4 quartos,2 ban.,2 vagas
433,R$ 329.700,"Jardim Petrópolis, Bauru",300 m² tot.,2 quartos,1 banheiro,4 vagas
434,R$ 319.870,"Vila Camargo, Bauru",400 m² tot.,2 quartos,2 ban.,2 vagas
435,R$ 579.780,"Vila Camargo, Bauru",255 m² tot.,3 quartos,1 banheiro,2 vagas
436,R$ 349.330,"Vila Cardia, Bauru",440 m² tot.,3 quartos,1 banheiro,1 vaga
437,R$ 299.790,"Vila Seabra, Bauru",220 m² tot.,3 quartos,2 ban.,2 vagas
438,R$ 397.500,"Núcleo Eldorado, Bauru",238 m² tot.,3 quartos,3 ban.,1 vaga
439,R$ 279.500,"Parque Paulista, Bauru",295 m² tot.,2 quartos,1 banheiro,1 vaga
440,R$ 334.740,"Jardim Prudência, Bauru",130 m² tot.,3 quartos,2 ban.,2 vagas
441,R$ 469.220,"Vila Carmem, Bauru",264 m² tot.,3 quartos,3 ban.,4 vagas
442,R$ 649.820,"Vila Popular, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
443,R$ 649.020,"Vila Popular, Bauru",190 m² tot.,3 quartos,2 ban.,2 vagas
444,R$ 369.130,"Parque Paulista, Bauru",180 m² tot.,3 quartos,2 ban.,2 vagas
445,R$ 849.340,"Jardim América, Bauru",280 m² tot.,4 quartos,3 ban.,5 vagas
446,R$ 689.660,"Jardim Aeroporto, Bauru",247 m² tot.,3 quartos,4 ban.,4 vagas
447,R$ 249.560,"Vila Rocha, Bauru",156 m² tot.,2 quartos,2 ban.,2 vagas
448,R$ 449.010,"Jardim Petrópolis, Bauru",232 m² tot.,3 quartos,3 ban.,3 vagas
449,R$ 419.560,"Parque Hipódromo, Bauru",300 m² tot.,3 quartos,3 ban.,4 vagas
450,R$ 419.590,"Jardim Alvorada, Bauru",175 m² tot.,2 quartos,3 ban.,2 vagas
451,R$ 789.140,"Jardim Estoril, Bauru",673 m² tot.,3 quartos,3 ban.,4 vagas
452,R$ 989.770,"Jardim Colonial, Bauru",330 m² tot.,4 quartos,3 ban.,3 vagas
453,R$ 259.840,"Jardim Olímpico, Bauru",321 m² tot.,3 quartos,2 ban.,3 vagas
454,R$ 439.080,"Vila Lemos, Bauru",363 m² tot.,3 quartos,2 ban.,2 vagas
455,R$ 349.690,"Jardim Solange, Bauru",140 m² tot.,3 quartos,3 ban.,6 vagas
456,R$ 449.450,"Vila Pelegrina, Bauru",300 m² tot.,3 quartos,4 ban.,3 vagas
457,R$ 499.540,"Jardim Solange, Bauru",180 m² tot.,3 quartos,3 ban.,3 vagas
458,R$ 1.189.200,"Jardim Marabá, Bauru",450 m² tot.,4 quartos,5 ban.,2 vagas
459,R$ 3.499.230,"Vila Aviação, Bauru",986 m² tot.,4 quartos,5 ban.,2 vagas
460,R$ 299.840,"Vila Santista, Bauru",181 m² tot.,3 quartos,2 ban.,3 vagas
461,R$ 449.410,"Jardim Solange, Bauru",165 m² tot.,3 quartos,2 ban.,2 vagas
462,R$ 799.150,"Vila Altinópolis, Bauru",250 m² tot.,3 quartos,3 ban.,2 vagas
463,R$ 378.860,"Vila Becheli, Bauru",176 m² tot.,3 quartos,2 ban.,2 vagas
464,R$ 2.099.220,"Residencial Tivoli, Bauru",756 m² tot.,4 quartos,5 ban.,4 vagas
465,R$ 519.040,"Jardim Jandira, Bauru",436 m² tot.,5 quartos,3 ban.,3 vagas
466,R$ 749.070,"Cidade Jardim, Bauru",242 m² tot.,3 quartos,3 ban.,2 vagas
467,R$ 749.130,"Jardim Panorama, Bauru",460 m² tot.,4 quartos,1 banheiro,
468,R$ 349.100,"Jardim Eldorado, Bauru",407 m² tot.,5 quartos,3 ban.,4 vagas
469,R$ 479.740,"Cidade Jardim, Bauru",370 m² tot.,3 quartos,4 ban.,3 vagas
470,R$ 444.280,"Vila Lemos, Bauru",200 m² tot.,3 quartos,2 ban.,1 vaga
471,R$ 419.540,"Jardim Solange, Bauru",174 m² tot.,2 quartos,2 ban.,2 vagas
472,R$ 1.389.020,"Quinta Ranieri, Bauru",560 m² tot.,3 quartos,4 ban.,4 vagas
473,R$ 489.750,"Vila Independência, Bauru",400 m² tot.,4 quartos,4 ban.,3 vagas
474,R$ 798.020,"Vila Camargo, Bauru",320 m² tot.,3 quartos,4 ban.,2 vagas
475,R$ 579.800,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,3 ban.,3 vagas
476,R$ 594.620,"Vila Nipônica, Bauru",170 m² tot.,2 quartos,2 ban.,2 vagas
477,R$ 589.010,"Vila Pacífico, Bauru",250 m² tot.,3 quartos,4 ban.,2 vagas
478,R$ 569.660,"Vila Independência, Bauru",242 m² tot.,3 quartos,3 ban.,2 vagas
479,R$ 339.290,"Parque Jaraguá, Bauru",125 m² tot.,3 quartos,3 ban.,3 vagas
480,R$ 470.000,"Alto Higienópolis, Bauru",240 m² tot.,4 quartos,3 ban.,4 vagas
481,R$ 398.810,"Jardim Ferraz, Bauru",241 m² tot.,3 quartos,3 ban.,3 vagas
482,R$ 547.580,"Jardim Chapadão, Bauru",260 m² tot.,3 quartos,3 ban.,3 vagas
483,R$ 379.700,"Jardim Redentor, Bauru",200 m² tot.,3 quartos,3 ban.,3 vagas
484,R$ 530.120,"Vila Cardia, Bauru",220 m² tot.,3 quartos,3 ban.,2 vagas
485,R$ 439.530,"Cidade Jardim, Bauru",342 m² tot.,4 quartos,3 ban.,3 vagas
486,R$ 419.620,"Núcleo Eldorado, Bauru",250 m² tot.,3 quartos,3 ban.,2 vagas
487,R$ 364.550,"Jardim Olímpico, Bauru",180 m² tot.,3 quartos,3 ban.,2 vagas
488,R$ 1.239.480,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,4 ban.,2 vagas
489,R$ 1.349.260,"Jardim Estoril, Bauru",420 m² tot.,5 quartos,6 ban.,6 vagas
490,R$ 1.300.000,"Jardim América, Bauru",371 m² tot.,4 quartos,5 ban.,2 vagas
491,R$ 2.499.520,"Vila Cardia, Bauru",1000 m² tot.,3 quartos,5 ban.,15 vagas
492,R$ 539.640,"Jardim Solange, Bauru",70 m² tot.,3 quartos,2 ban.,2 vagas
493,R$ 309.800,"Vila Industrial, Bauru",150 m² tot.,3 quartos,2 ban.,2 vagas
494,R$ 749.260,"Jardim Solange, Bauru",172 m² tot.,3 quartos,3 ban.,2 vagas
495,R$ 434.040,"Vila Industrial, Bauru",153 m² tot.,3 quartos,2 ban.,2 vagas
496,R$ 394.010,"Vila Souto, Bauru",160 m² tot.,3 quartos,2 ban.,2 vagas
497,R$ 529.500,"Vila Souto, Bauru",242 m² tot.,3 quartos,2 ban.,4 vagas
498,R$ 549.680,"Vila Industrial, Bauru",132 m² tot.,3 quartos,3 ban.,2 vagas
499,R$ 8.500.000,"Pacaembu, São Paulo",1100 m² tot.,3 quartos,6 ban.,4 vagas
500,R$ 2.900.000,"Pacaembu, São Paulo",360 m² tot.,3 quartos,2 ban.,2 vagas
501,R$ 2.589.140,"Bauru, São Paulo",528 m² tot.,3 quartos,5 ban.,3 vagas
502,R$ 3.899.070,"Bauru, São Paulo",620 m² tot.,3 quartos,6 ban.,3 vagas
503,R$ 2.679.110,"Bauru, São Paulo",420 m² tot.,4 quartos,6 ban.,4 vagas
504,R$ 2.489.730,"Bauru, São Paulo",430 m² tot.,3 quartos,5 ban.,4 vagas
505,R$ 1.449.590,"Bauru, São Paulo",400 m² tot.,3 quartos,4 ban.,4 vagas
506,R$ 2.099.010,"Bauru, São Paulo",381 m² tot.,4 quartos,5 ban.,2 vagas
507,R$ 2.099.310,"Bauru, São Paulo",420 m² tot.,3 quartos,5 ban.,2 vagas
508,R$ 194.520,"Bauru, São Paulo",160 m² tot.,2 quartos,1 banheiro,2 vagas
509,R$ 2.299.120,"Bauru, São Paulo",420 m² tot.,3 quartos,5 ban.,4 vagas
510,R$ 299.270,"Bauru, São Paulo",250 m² tot.,3 quartos,1 banheiro,1 vaga
511,R$ 1.899.590,"Bauru, São Paulo",360 m² tot.,3 quartos,4 ban.,4 vagas
512,R$ 548.240,"Bauru, São Paulo",288 m² tot.,4 quartos,3 ban.,2 vagas
513,R$ 449.360,"Bauru, São Paulo",350 m² tot.,2 quartos,3 ban.,5 vagas
514,R$ 348.180,"Bauru, São Paulo",300 m² tot.,2 quartos,1 banheiro,5 vagas
515,R$ 239.890,"Bauru, São Paulo",250 m² tot.,2 quartos,1 banheiro,1 vaga
516,R$ 1.899.999.880,"Bauru, São Paulo",420 m² tot.,3 quartos,4 ban.,2 vagas
517,R$ 179.360,"Bauru, São Paulo",69 m² tot.,2 quartos,1 banheiro,4 vagas
518,R$ 178.530,"Bauru, São Paulo",160 m² tot.,2 quartos,1 banheiro,1 vaga
519,R$ 3.199.240,"Bauru, São Paulo",420 m² tot.,3 quartos,6 ban.,4 vagas
520,R$ 2.399.210,"Bauru, São Paulo",420 m² tot.,3 quartos,5 ban.,4 vagas
521,R$ 2.449.570,"Bauru, São Paulo",360 m² tot.,4 quartos,6 ban.,4 vagas
522,R$ 1.889.560,"Bauru, São Paulo",371 m² tot.,3 quartos,3 ban.,2 vagas
523,R$ 2.299.120,"Bauru, São Paulo",420 m² tot.,3 quartos,5 ban.,4 vagas
524,R$ 239.060,"Bauru, São Paulo",148 m² tot.,2 quartos,1 banheiro,2 vagas
525,R$ 2.599.840,"Bauru, São Paulo",360 m² tot.,3 quartos,4 ban.,2 vagas
526,R$ 1.799.130,"Bauru, São Paulo",501 m² tot.,4 quartos,4 ban.,4 vagas
527,R$ 1.599.170,"Bauru, São Paulo",293 m² tot.,3 quartos,5 ban.,4 vagas
528,R$ 1.748.070,"Bauru, São Paulo",371 m² tot.,3 quartos,3 ban.,2 vagas
529,R$ 1.678.350,"Bauru, São Paulo",388 m² tot.,3 quartos,5 ban.,4 vagas
530,R$ 1.999.800,"Bauru, São Paulo",450 m² tot.,3 quartos,4 ban.,6 vagas
531,R$ 1.179.440,"Bauru, São Paulo",300 m² tot.,3 quartos,4 ban.,4 vagas
