,Unnamed: 0,precos,tamanhos,quartos,banheiros,vagas,bairros_preco_medio
2947,2947,980000.0,510.0,3.0,3.0,6.0,779855.1063829787
2948,2948,490000.0,216.0,3.0,1.0,4.0,396742.0
2949,2949,280000.0,198.0,2.0,2.0,2.0,359570.0
2950,2950,2650000.0,500.0,5.0,5.0,4.0,2032942.75
2951,2951,950000.0,310.0,3.0,2.0,1.0,779855.1063829787
2953,2953,1250000.0,490.0,3.0,3.0,4.0,1295663.5714285714
2954,2954,2120000.0,480.0,4.0,6.0,5.0,1295663.5714285714
2955,2955,285000.0,200.0,3.0,2.0,3.0,396190.0
2956,2956,380000.0,288.0,2.0,1.0,3.0,622106.0416666666
2957,2957,499000.0,300.0,3.0,2.0,4.0,563572.6315789474
2958,2958,800000.0,815.0,3.0,3.0,6.0,415415.11627906974
2959,2959,359000.0,200.0,3.0,1.0,2.0,359570.0
2960,2960,1400000.0,450.0,4.0,5.0,5.0,1337142.857142857
2961,2961,300000.0,200.0,2.0,1.0,3.0,396190.0
2963,2963,660000.0,212.0,3.0,2.0,4.0,449892.85714285716
2964,2964,421000.0,295.0,5.0,3.0,4.0,351483.3333333333
2966,2966,1480000.0,442.0,4.0,4.0,3.0,2032942.75
2967,2967,395000.0,293.0,2.0,1.0,2.0,263843.375
2968,2968,300000.0,147.0,2.0,3.0,2.0,550146.1224489796
2969,2969,2190000.0,525.0,4.0,6.0,4.0,2550807.9487179485
2970,2970,790000.0,484.0,4.0,3.0,5.0,506066.44444444444
2971,2971,570000.0,318.0,3.0,2.0,4.0,622106.0416666666
2972,2972,800000.0,726.0,3.0,3.0,6.0,591760.4255319149
2973,2973,820000.0,504.0,4.0,4.0,4.0,622106.0416666666
2974,2974,220000.0,115.0,3.0,1.0,2.0,359570.0
2977,2977,2500000.0,3000.0,4.0,6.0,6.0,2516347.5675675673
2978,2978,890000.0,363.0,3.0,2.0,7.0,506066.44444444444
2979,2979,290000.0,200.0,3.0,2.0,2.0,359570.0
2980,2980,420000.0,100.0,3.0,3.0,3.0,468388.48484848486
2981,2981,350000.0,247.0,3.0,2.0,3.0,521428.5714285714
2982,2982,430000.0,300.0,3.0,1.0,4.0,343682.5
2983,2983,150000.0,153.0,2.0,1.0,1.0,350808.51851851854
2984,2984,800000.0,666.0,2.0,2.0,4.0,520996.43209876545
